ID_Cliente,Edad,Genero,Ingresos_Anuales,Gastos_Mensuales,Deudas,Ahorros,Score_Credito
70,19,Femenino,134326,1325,12571,36584,545
71,23,Femenino,104590,610,17217,58172,771
72,59,Masculino,126399,3411,48225,35049,398
73,21,Masculino,79145,4399,7227,56615,621
74,46,Femenino,63610,1407,41189,71358,440
75,35,Femenino,77520,4215,14207,25112,408
76,43,Masculino,24544,4189,46722,91514,612
77,61,Masculino,110854,1054,12672,16037,420
78,51,Femenino,74812,2403,41783,8996,398
79,27,Masculino,91610,606,35286,79860,793
80,53,Masculino,71500,3836,20051,77009,443
81,31,Femenino,59618,3034,28879,23066,409
82,48,Femenino,139090,2726,28845,90963,783
83,65,Femenino,119054,3793,10015,40865,429
84,32,Masculino,45444,1893,42064,49707,699
85,25,Femenino,105982,3184,17425,8067,805
86,31,Femenino,114079,3335,21496,5341,509
87,40,Masculino,76586,666,707,21427,660
88,57,Femenino,44789,3210,17767,80694,453
89,38,Masculino,21617,4124,26467,61667,832
90,33,Masculino,148639,2847,17686,26440,846
91,62,Masculino,120834,1904,7118,81163,659
92,35,Masculino,23333,2025,11213,61693,609
93,64,Masculino,60002,4909,31485,88738,773
94,41,Masculino,144477,3274,15501,79877,599
95,43,Femenino,83620,1325,8868,67630,640
96,42,Femenino,107688,1624,29333,19314,303
97,62,Femenino,109627,1068,42523,43587,468
98,58,Masculino,20511,2458,34028,90365,719
99,46,Femenino,132850,4239,10545,3520,579
100,32,Masculino,57850,2609,357,49210,688
101,62,Femenino,141548,4964,21788,32136,484
102,18,Masculino,102172,4689,38180,52854,622
103,42,Femenino,106053,4594,36002,59065,310
104,24,Masculino,51786,3430,16802,18991,577
105,26,Femenino,94356,1263,20339,5110,438
106,41,Masculino,56244,3860,1593,46270,385
107,18,Femenino,94714,3950,4602,41224,530
108,61,Masculino,87261,2647,46737,60558,750
109,25,Femenino,38477,3895,9577,84213,437
110,41,Femenino,66533,4924,45367,35252,830
111,28,Femenino,54469,4219,30329,51887,637
112,68,Masculino,28496,720,10943,32583,455
113,34,Masculino,140522,2361,33012,76251,316
114,25,Masculino,32270,3114,4572,85375,560
115,52,Masculino,96008,1521,49766,33645,459
116,52,Masculino,40724,609,16250,43664,608
117,50,Femenino,50416,4744,16633,74274,380
118,22,Masculino,55575,4348,44053,35230,512
119,59,Femenino,101190,1198,39388,98095,726
120,56,Femenino,96614,607,26171,37261,641
121,58,Masculino,113566,888,5869,97432,658
122,45,Femenino,140989,924,5971,24365,505
123,24,Masculino,93108,2994,49662,84135,635
124,26,Masculino,37408,3465,13957,48817,560
125,25,Masculino,147192,3203,5968,61190,542
126,29,Femenino,39359,2499,21253,22331,694
127,51,Masculino,28698,4075,25941,97058,636
128,50,Masculino,90392,2027,7647,24805,578
129,65,Masculino,113063,4553,25499,29374,548
130,40,Femenino,59492,2526,31785,17811,329
131,41,Masculino,94781,2868,16457,18083,430
132,54,Femenino,63634,3266,9000,46610,823
133,52,Femenino,137255,2355,37909,12161,759
134,61,Masculino,62864,946,34894,14403,694
135,57,Femenino,114482,2097,18588,72494,827
136,39,Femenino,57355,709,6470,53424,712
137,44,Masculino,57690,1348,15473,25805,416
138,52,Masculino,57814,2151,16161,94506,448
139,18,Masculino,51645,2416,20063,10468,408
140,52,Femenino,104814,4029,12908,11135,535
141,54,Masculino,92739,2418,11850,57974,726
142,64,Femenino,76630,1076,984,90381,816
143,31,Femenino,68171,1188,7187,63135,479
144,20,Femenino,41658,1289,27856,64699,695
145,18,Femenino,143980,1855,20339,20155,300
146,22,Femenino,146541,2187,43613,95027,307
147,43,Masculino,128132,849,38481,66036,443
148,31,Masculino,35797,3217,14083,21990,574
149,56,Femenino,78799,4039,48287,73475,586
150,44,Femenino,138301,4922,43906,21991,789
151,26,Masculino,118342,1629,25435,46045,330
152,32,Masculino,116494,4850,2085,79325,751
153,32,Femenino,72236,4708,30837,19134,543
154,43,Femenino,26265,1490,39301,50464,439
155,59,Masculino,147119,2373,16183,84073,700
156,30,Masculino,145611,4641,35495,37504,840
157,68,Femenino,92134,1876,33144,608,463
158,49,Masculino,120719,1726,39760,44003,403
159,56,Masculino,102678,1063,46953,79423,362
160,66,Femenino,73494,3387,22084,18047,314
161,69,Femenino,141754,1840,37458,3294,793
162,49,Femenino,72268,4237,1065,92541,478
163,21,Masculino,135452,1937,3682,80709,822
164,47,Femenino,46998,594,47561,22406,740
165,54,Masculino,111426,3796,32488,92823,824
166,40,Femenino,114414,1448,31460,85105,787
167,56,Femenino,81339,3192,8820,34299,610
168,62,Masculino,34306,4661,18757,47043,429
169,32,Masculino,84006,3781,46588,29750,765
170,60,Femenino,138717,1997,23146,36984,801
171,46,Femenino,67345,3231,8058,56536,562
172,53,Masculino,31885,3243,22852,3706,470
173,30,Femenino,129681,4775,14118,11266,705
174,49,Masculino,63826,3381,36742,89179,324
175,24,Masculino,75597,701,6659,86422,748
176,68,Femenino,27443,1998,4841,47544,459
177,39,Masculino,117375,3586,18335,75382,516
178,45,Masculino,136005,3613,47351,78255,789
179,19,Masculino,37084,3090,20305,86924,579
180,59,Femenino,109447,2448,3424,45116,380
181,62,Masculino,24383,4104,47501,64213,424
182,23,Femenino,112313,4463,14538,85464,469
183,45,Femenino,54361,1193,42285,46326,389
184,45,Femenino,100294,2219,45276,69354,679
185,61,Masculino,81331,4433,3769,8087,410
186,61,Masculino,115057,4232,31586,48416,463
187,37,Femenino,40529,3159,26447,87629,714
188,47,Femenino,78574,2221,20015,66583,454
189,28,Masculino,108627,4551,35078,43413,493
190,45,Femenino,141685,2791,2343,84580,775
191,42,Femenino,125330,4699,3386,97651,320
192,56,Masculino,116917,3198,35107,73466,408
193,50,Femenino,120916,3874,683,81530,698
194,18,Masculino,50932,1510,25451,26838,428
195,44,Masculino,129633,1541,1054,61701,808
196,69,Femenino,142087,2057,23595,39034,579
197,30,Masculino,21908,1707,20398,90875,726
198,58,Masculino,125258,2180,23685,10559,326
199,20,Masculino,133489,4121,348,57229,643
200,56,Femenino,50358,3852,28890,3408,700
201,23,Femenino,50412,2178,16362,23878,594
202,25,Femenino,148319,4096,33790,18068,495
203,44,Masculino,103710,3245,25025,46144,455
204,26,Masculino,142856,4045,503,61808,739
205,54,Femenino,101032,3493,41045,99173,400
206,50,Femenino,22928,1280,44282,27309,799
207,68,Masculino,85158,1445,13576,32391,584
208,59,Femenino,50632,3928,33290,91025,368
209,61,Femenino,52309,3598,11884,55027,685
210,41,Femenino,29280,1047,25205,93243,751
211,32,Femenino,60449,2707,32785,89132,437
212,49,Femenino,107171,3484,1268,88647,547
213,49,Masculino,46957,3090,1176,58974,402
214,41,Femenino,56895,2674,18016,82462,809
215,58,Femenino,90499,2297,12745,34971,674
216,69,Masculino,113057,2380,11961,84855,454
217,66,Masculino,118151,3556,36381,82671,386
218,66,Masculino,130065,2757,49266,72812,781
219,69,Masculino,131858,2697,41712,91598,508
220,29,Femenino,41695,530,39358,54851,477
221,56,Femenino,94893,1111,6768,49698,557
222,19,Femenino,83123,4897,18972,80122,572
223,20,Femenino,45176,3510,33089,21345,323
224,66,Masculino,38409,3412,7626,84477,699
225,54,Masculino,144464,4302,45281,67107,652
226,66,Femenino,76967,3312,28403,39352,600
227,34,Femenino,20987,1182,29032,57797,309
228,66,Femenino,74462,756,30226,51843,342
229,19,Femenino,87501,1439,49985,9949,350
230,19,Masculino,125620,3394,28783,37542,406
231,45,Femenino,116854,3685,8403,78097,534
232,40,Masculino,46015,1276,42216,32827,789
233,54,Masculino,114727,3232,29619,94549,774
234,49,Masculino,132350,1231,49310,91529,591
235,50,Masculino,86404,2542,2619,88131,780
236,18,Femenino,136751,1469,1347,83258,759
237,36,Femenino,148807,602,3164,90578,724
238,19,Femenino,70281,1583,13559,7001,628
239,61,Femenino,57146,3570,27788,92422,484
240,43,Masculino,68231,4248,33678,7948,805
241,49,Masculino,49032,871,7166,97410,777
242,23,Masculino,48305,1178,35219,84391,313
243,49,Femenino,74306,701,44763,25295,392
244,21,Masculino,108176,588,403,25811,479
245,28,Masculino,141139,2496,10033,41522,604
246,34,Masculino,38318,4994,27224,41942,774
247,55,Masculino,33246,687,18074,60310,841
248,41,Femenino,53844,2054,3485,59679,823
249,22,Masculino,52602,729,46519,29225,410
250,69,Masculino,41584,4052,9448,50882,714
251,51,Femenino,136327,554,20672,20723,720
252,23,Femenino,35169,4866,13410,73415,710
253,39,Femenino,45968,4531,14262,75085,822
254,28,Masculino,26385,1623,27760,59719,628
255,65,Masculino,93758,3640,9834,92874,571
256,33,Masculino,142684,3870,32279,83705,313
257,50,Masculino,135391,2052,27928,34730,474
258,26,Femenino,45444,615,49674,15136,457
259,23,Masculino,123784,4113,20829,42148,533
260,33,Masculino,143112,4918,22843,71501,440
261,46,Femenino,126081,3110,34712,68214,780
262,20,Femenino,82497,859,19955,88025,418
263,37,Femenino,25362,527,34328,62399,681
264,53,Masculino,119254,4337,31632,43967,820
265,36,Masculino,28250,4033,37515,38075,709
266,43,Masculino,88354,1918,7154,19507,348
267,20,Masculino,56368,4539,28170,49475,669
268,36,Masculino,64109,3416,46857,61027,632
269,37,Femenino,100589,1794,49744,32081,448
270,49,Femenino,77645,4129,31163,88122,456
271,24,Masculino,76997,2575,12085,2342,451
272,69,Masculino,47426,4177,27244,44360,760
273,58,Masculino,137632,3653,5327,10167,675
274,50,Masculino,132637,2278,17139,62853,724
275,57,Masculino,59023,4394,25875,99611,347
276,56,Femenino,142268,2998,33264,48303,634
277,35,Femenino,79267,873,13060,66991,768
278,57,Femenino,44892,2765,15656,58306,544
279,18,Masculino,79232,1631,18805,26293,561
280,28,Masculino,139952,2342,34366,2539,549
281,45,Femenino,129211,2073,28855,90986,796
282,42,Femenino,114897,4944,4127,18589,351
283,67,Masculino,79225,1287,45891,12719,788
284,40,Femenino,36007,2045,38319,99443,441
285,48,Femenino,99777,4621,3590,3591,671
286,47,Masculino,64858,869,12973,21098,550
287,59,Femenino,65073,4874,16845,70250,613
288,52,Femenino,109438,2202,37734,91657,524
289,24,Femenino,110042,2157,48087,92955,355
290,33,Masculino,103098,2428,27281,29603,638
291,43,Femenino,40239,4555,44283,4667,820
292,65,Femenino,82969,1106,16549,73993,799
293,69,Femenino,33065,3076,27623,73829,783
294,66,Masculino,130951,4624,34496,64574,463
295,19,Masculino,61291,822,24080,48100,740
296,18,Femenino,58805,2376,4697,24238,432
297,65,Masculino,118831,1083,15730,89078,380
298,29,Femenino,38443,3309,28245,64311,649
299,22,Masculino,29290,1155,44134,85893,433
300,54,Masculino,20211,722,31313,26110,351
301,49,Femenino,103634,2622,18557,84403,793
302,26,Femenino,39072,2720,37,83133,501
303,58,Femenino,63290,4050,29908,11184,807
304,52,Masculino,105186,2942,40254,86349,313
305,36,Femenino,35115,4485,2021,25482,684
306,65,Masculino,25149,666,39648,91693,500
307,33,Masculino,61992,2516,37289,42564,464
308,20,Femenino,37716,617,8839,15660,432
309,37,Masculino,117724,2309,31005,80222,418
310,41,Femenino,33621,2706,3302,98873,785
311,50,Masculino,26820,1750,8511,24479,482
312,41,Femenino,149728,4506,20991,64215,757
313,69,Masculino,133065,3609,39136,99849,634
314,28,Masculino,62800,2171,43513,66444,530
315,66,Femenino,75043,2651,9914,37230,610
316,25,Masculino,50399,2797,9948,69619,302
317,53,Femenino,139374,1536,44638,3340,380
318,55,Masculino,34002,3114,28354,31829,574
319,57,Masculino,63098,2379,5873,7039,687
320,37,Masculino,65511,1096,31461,76946,644
321,52,Femenino,73243,1120,7498,7155,518
322,65,Femenino,135131,570,23556,91125,362
323,42,Femenino,48750,2303,32606,39438,739
324,52,Femenino,111610,1567,27091,73933,326
325,42,Femenino,37310,2425,5635,12237,680
326,46,Masculino,75398,1537,33532,2,547
327,35,Masculino,102542,3942,22690,46794,453
328,63,Femenino,95207,3683,17036,65860,509
329,35,Masculino,137725,1902,45040,62703,321
330,19,Masculino,64345,2861,47911,38902,318
331,52,Masculino,113430,1938,44562,82524,808
332,33,Masculino,134921,4311,10321,21275,728
333,58,Femenino,111729,984,29152,51734,336
334,53,Masculino,71843,4764,20348,63261,706
335,50,Femenino,30222,745,20995,32061,723
336,21,Femenino,109322,3871,24762,35890,637
337,50,Masculino,51509,1850,145,89896,570
338,31,Femenino,20386,1029,5101,81365,761
339,38,Masculino,84334,4314,4247,19498,614
340,65,Masculino,87170,2288,9578,77003,357
341,37,Masculino,60878,2202,4188,65882,675
342,25,Femenino,89669,4125,31774,13369,755
343,24,Femenino,127680,3820,43547,45114,706
344,20,Femenino,58349,1259,2696,60071,684
345,34,Masculino,120271,1903,41008,13997,355
346,50,Masculino,41952,1297,46958,43518,758
347,65,Masculino,141972,1031,19713,24686,774
348,29,Femenino,110352,2417,44549,98326,815
349,68,Masculino,41529,4637,43548,62891,316
350,39,Masculino,91303,3916,30875,85736,732
351,39,Femenino,61521,1098,25350,75691,536
352,63,Femenino,38383,805,4641,13074,606
353,47,Femenino,24901,3409,5559,18091,732
354,55,Masculino,62889,1178,34028,6715,323
355,55,Masculino,34633,3884,49801,38821,599
356,62,Masculino,82244,1230,11631,20199,537
357,68,Femenino,149177,2525,35816,90858,791
358,25,Femenino,39163,4728,2023,66050,587
359,44,Femenino,79019,3266,25656,55439,714
360,44,Femenino,30707,2598,20654,3039,699
361,51,Masculino,108112,891,21717,5861,715
362,38,Masculino,103597,3243,34842,65032,782
363,47,Masculino,65101,4284,32550,52008,550
364,50,Masculino,64706,4337,45202,84261,699
365,45,Masculino,97084,2185,45923,57668,440
366,64,Masculino,35115,3414,35080,39104,677
367,50,Masculino,95379,1918,3474,36130,419
368,22,Masculino,122481,4691,14171,36258,637
369,65,Femenino,59979,4701,3260,30691,749
370,36,Femenino,60641,4590,49109,90068,460
371,21,Masculino,89377,4226,5618,68714,404
372,52,Femenino,141786,4129,45765,23815,391
373,66,Masculino,26416,3813,34118,85244,784
374,34,Masculino,30633,1584,9285,91674,718
375,61,Femenino,148785,1507,38816,83464,720
376,45,Masculino,123189,1817,8141,87771,353
377,47,Masculino,20594,2849,28352,25101,813
378,46,Masculino,34393,3193,44056,95126,396
379,63,Masculino,55380,2778,23707,86553,484
380,23,Masculino,65056,4222,22161,75477,732
381,52,Masculino,108279,4193,1854,25416,770
382,58,Masculino,117507,4892,18650,84185,424
383,54,Femenino,136184,4835,16944,74440,633
384,41,Femenino,138243,3747,7546,41026,563
385,46,Masculino,24861,3634,48321,25336,490
386,66,Femenino,123070,3098,7207,5260,520
387,63,Masculino,56126,2685,29268,13657,498
388,48,Masculino,100382,4552,6486,29079,643
389,52,Masculino,111713,4324,31222,76917,473
390,50,Masculino,53682,4020,29121,81592,516
391,69,Femenino,38228,1749,18767,21283,505
392,38,Femenino,120299,2574,38915,1467,672
393,49,Femenino,44009,3004,10017,86772,473
394,40,Femenino,20094,2514,15094,6101,377
395,50,Masculino,126988,1448,31236,73083,622
396,20,Femenino,100636,606,7664,2760,683
397,35,Masculino,72221,2991,29921,12648,736
398,42,Masculino,118453,654,29845,34161,498
399,59,Femenino,37430,3740,14573,87298,306
400,48,Masculino,55571,1295,1683,18083,562
401,20,Femenino,74486,4867,9390,17504,824
402,57,Femenino,110510,2070,33777,38097,319
403,63,Femenino,116665,2134,48588,50723,553
404,41,Femenino,132770,2438,31777,78601,479
405,67,Femenino,82294,2032,42667,48739,652
406,49,Masculino,149171,3528,29111,82648,514
407,64,Femenino,40860,4717,29980,11696,657
408,39,Femenino,92812,1940,35380,82535,519
409,40,Masculino,86087,1898,23808,98674,636
410,19,Femenino,133784,4146,7226,87258,618
411,44,Femenino,28486,3897,22447,95735,765
412,59,Masculino,103063,4745,37109,62071,453
413,19,Masculino,69607,3542,17926,94968,650
414,43,Femenino,29745,2115,17621,54094,361
415,34,Masculino,126664,2013,11167,74675,759
416,57,Femenino,98533,3098,5709,50271,539
417,50,Masculino,38330,1344,13240,42415,489
418,26,Femenino,140803,3919,35031,88251,445
419,60,Femenino,60078,4030,32146,27124,821
420,65,Femenino,75332,2827,49434,23403,591
421,56,Masculino,124121,3540,7998,2422,359
422,46,Femenino,74532,2476,49083,13455,772
423,59,Masculino,141062,2335,40508,28187,372
424,43,Femenino,110365,854,10812,92658,538
425,52,Femenino,63336,2105,31101,47109,715
426,67,Femenino,28070,4973,14228,75068,478
427,42,Femenino,21320,3695,24747,13541,366
428,41,Femenino,109043,2627,46300,15481,376
429,30,Masculino,58921,1487,29790,42478,547
430,24,Masculino,26589,4828,1882,38593,367
431,53,Masculino,84409,653,38955,72296,398
432,62,Femenino,112995,1406,18659,42919,844
433,37,Femenino,35589,4263,47420,41670,841
434,18,Masculino,56375,2120,23258,20954,837
435,25,Femenino,63085,4128,23886,33341,623
436,63,Femenino,80840,4074,41560,27419,422
437,33,Femenino,63200,4918,31343,49659,332
438,31,Masculino,118704,831,18407,88655,444
439,29,Masculino,46732,4838,49618,2222,816
440,68,Masculino,117047,929,3950,56840,609
441,40,Masculino,42426,2923,3889,94899,443
442,32,Masculino,50982,580,30410,26273,816
443,45,Femenino,79720,2073,28968,66323,494
444,51,Femenino,36746,919,18976,93901,782
445,19,Femenino,48514,966,23016,25162,774
446,49,Femenino,84889,3893,9211,76893,468
447,40,Masculino,23851,2065,22742,52802,482
448,39,Masculino,39796,2018,23553,45569,412
449,68,Femenino,96034,4530,29332,27277,575
450,42,Masculino,82798,2535,13089,49116,775
451,39,Femenino,118388,1303,48334,85956,477
452,39,Femenino,82985,1577,4436,57899,590
453,66,Femenino,54592,2132,17087,49029,733
454,69,Femenino,64845,2484,25428,12167,762
455,59,Masculino,35930,503,8497,45350,716
456,23,Femenino,143187,1102,28154,15590,437
457,32,Masculino,130853,2867,26509,27883,788
458,60,Femenino,128417,4175,40404,87132,467
459,54,Femenino,133436,1000,44747,67046,433
460,50,Femenino,127126,684,41833,96299,460
461,25,Femenino,41159,4009,34349,59930,676
462,61,Masculino,115072,3751,3957,87823,629
463,61,Femenino,109788,3647,37358,44506,694
464,22,Masculino,44003,3440,14913,14374,471
465,56,Femenino,125722,1795,9797,24551,769
466,21,Femenino,55139,554,7531,89472,721
467,23,Femenino,125372,2224,13825,94188,555
468,62,Masculino,72452,3410,6911,55584,419
469,49,Femenino,42205,2370,32316,69169,318
470,69,Femenino,116059,4672,5731,92518,546
471,47,Femenino,76955,2843,17279,17845,504
472,64,Femenino,130163,3790,47558,87834,719
473,52,Femenino,27464,3848,46223,6352,366
474,57,Masculino,102646,2101,44223,63317,641
475,69,Masculino,131852,3293,24416,57080,644
476,33,Femenino,92657,3837,28000,8594,686
477,30,Femenino,29840,2590,12045,8475,641
478,67,Masculino,122616,1751,36299,88035,407
479,59,Femenino,60768,670,10666,94374,701
480,47,Masculino,29461,3309,18245,95983,601
481,36,Femenino,40927,2854,32566,37424,406
482,34,Femenino,109934,2273,27339,65210,776
483,36,Masculino,118622,4254,4852,75923,636
484,45,Femenino,35329,4491,16414,2670,759
485,43,Masculino,35791,2581,14281,59263,612
486,54,Masculino,72627,1326,48538,69896,453
487,43,Masculino,148885,2165,47155,35316,648
488,40,Femenino,34372,629,28031,18710,828
489,26,Masculino,134239,1917,16626,39814,599
490,29,Masculino,112890,4287,23302,5179,833
491,18,Femenino,68469,1907,45741,61938,535
492,18,Femenino,129554,1093,46691,81212,510
493,64,Femenino,107073,1537,30112,25063,585
494,51,Femenino,138822,2628,5511,49616,722
495,49,Femenino,54370,3778,38276,53475,793
496,65,Femenino,71408,4799,4668,58009,718
497,42,Masculino,110941,522,6087,71011,644
498,57,Femenino,127351,2133,7015,9681,822
499,62,Masculino,43703,4501,31419,72501,618
500,18,Femenino,35234,4699,39430,33566,641
501,33,Masculino,27532,1905,31314,27874,678
502,56,Masculino,125670,1978,11614,52392,845
503,22,Femenino,55416,1694,4003,36123,507
504,39,Femenino,92439,1075,26235,85849,485
505,46,Masculino,38242,2106,33366,45317,316
506,20,Femenino,70254,4869,32837,61217,589
507,29,Femenino,99324,951,8139,66395,553
508,43,Masculino,55249,624,9585,24939,745
509,33,Masculino,120124,3954,3659,47102,755
510,68,Masculino,115049,2864,26225,79854,446
511,54,Femenino,128575,2366,5634,40456,413
512,39,Femenino,105078,2183,39590,10337,396
513,46,Femenino,52294,1406,3682,62475,681
514,31,Femenino,79784,4034,35451,11023,675
515,45,Masculino,23684,929,4562,78406,805
516,22,Femenino,43795,3251,4652,60916,621
517,64,Masculino,144135,4325,45949,91027,627
518,66,Femenino,80301,861,21315,47620,648
519,47,Femenino,89187,931,9502,14274,469
520,63,Masculino,30431,3222,4713,83694,606
521,69,Femenino,95667,3561,5413,85285,498
522,22,Femenino,109627,3723,21984,24398,476
523,29,Masculino,110381,2130,20487,81506,423
524,33,Femenino,110027,769,2075,30135,456
525,43,Masculino,141569,1623,33550,73878,585
526,43,Masculino,75372,3676,20190,11412,534
527,65,Masculino,90366,3892,32263,15293,593
528,38,Masculino,114176,1542,42293,52969,317
529,56,Femenino,139667,2141,11909,13194,473
530,53,Femenino,92870,2941,29212,91182,702
531,50,Femenino,67387,3797,14962,60787,680
532,47,Masculino,72927,1883,15853,94301,419
533,54,Femenino,29304,4496,34822,82680,395
534,40,Femenino,133183,514,14375,37219,330
535,27,Femenino,37032,2174,44361,35507,396
536,22,Femenino,111291,4117,45964,56591,769
537,53,Masculino,132889,1980,2109,87468,345
538,51,Masculino,79486,2245,1320,39559,535
539,69,Femenino,85552,3546,47482,89836,636
540,48,Masculino,93844,4710,15987,88765,584
541,27,Femenino,49654,1475,37185,6867,433
542,36,Femenino,59244,2185,3699,74644,838
543,49,Femenino,25942,2583,49884,96319,559
544,18,Masculino,70697,2789,46436,3943,802
545,22,Femenino,146031,2186,28209,64413,479
546,62,Masculino,22693,4658,39330,15523,566
547,21,Masculino,76751,1008,46415,67028,383
548,33,Femenino,101098,687,49127,36389,709
549,41,Masculino,138777,3282,22547,8918,455
550,33,Masculino,26259,4688,22939,46610,789
551,19,Femenino,139746,4600,14202,45821,627
552,66,Masculino,133883,4009,29220,26185,645
553,45,Masculino,127772,4017,21762,21402,396
554,49,Femenino,137928,2572,8796,94860,482
555,44,Femenino,24942,597,1722,29576,626
556,37,Masculino,67419,1791,43364,97296,677
557,41,Femenino,122092,3964,47304,23134,386
558,29,Femenino,76105,2287,11674,86761,434
559,67,Masculino,85907,1183,48415,74667,389
560,52,Masculino,47383,1632,2812,49239,787
561,50,Femenino,43404,4622,42541,30505,388
562,50,Masculino,92656,3704,2278,1268,592
563,68,Femenino,25702,3623,48222,71097,745
564,60,Femenino,93883,4336,35118,64624,698
565,54,Masculino,120965,2114,3623,94649,813
566,29,Masculino,76332,1541,6530,55197,694
567,20,Femenino,59419,3365,49866,11271,316
568,18,Femenino,110576,1354,15987,7512,541
569,50,Femenino,123182,2526,924,68336,843
570,57,Femenino,131395,2487,19546,97156,303
571,27,Masculino,122619,3050,37297,63968,580
572,60,Femenino,108078,739,12270,60757,832
573,61,Masculino,128269,989,18953,21422,770
574,46,Masculino,93844,4351,35583,54040,537
575,30,Femenino,59242,1536,23356,96381,777
576,29,Masculino,144983,1838,4578,94897,388
577,48,Masculino,54142,3769,4462,12764,412
578,63,Femenino,129699,3054,888,21164,441
579,19,Masculino,116226,4000,22332,66679,350
580,68,Masculino,27393,4362,19862,29213,507
581,67,Femenino,89939,2267,19973,72239,822
582,52,Femenino,89082,661,46410,94386,807
583,40,Femenino,122281,1155,1723,10806,569
584,34,Femenino,48893,3506,23410,7094,562
585,43,Femenino,29388,4006,8602,55597,485
586,25,Femenino,138099,1756,18614,16158,520
587,46,Femenino,127292,2658,44154,60833,380
588,43,Masculino,82969,2451,18444,27209,708
589,27,Masculino,56660,1249,2613,13763,385
590,43,Femenino,109244,1208,42772,36256,403
591,51,Masculino,44726,2121,23082,59191,583
592,68,Masculino,99544,4636,15980,77753,759
593,58,Femenino,121553,965,44866,42105,760
594,24,Masculino,82996,4495,677,85776,420
595,21,Femenino,20111,1600,11102,54410,651
596,67,Masculino,135370,2213,40498,13510,739
597,62,Femenino,37545,616,43211,67344,488
598,28,Masculino,60168,2981,3004,21864,849
599,46,Masculino,22379,695,48170,65945,528
600,53,Masculino,115773,1974,8986,645,685
601,42,Femenino,131484,2972,33496,61264,430
602,38,Masculino,107346,4629,26269,83471,470
603,53,Masculino,61120,3554,14173,13926,629
604,27,Femenino,37809,1774,47609,1113,334
605,54,Femenino,72813,4209,21118,52739,500
606,26,Masculino,94005,838,32958,49213,467
607,41,Masculino,47967,4011,14089,25811,808
